,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,3,1986,Other,26,6/22/2017
145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,2,1992,Female,26,5/10/2023
146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,3,1991,Female,27,2/9/2019
147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,1,1984,Male,26,1/7/2019
148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,1,1987,Male,27,10/14/2018
149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,3,1984,Male,27,2/19/2018
150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,2,1989,Male,27,3/25/2019
151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,1,1992,Male,26,5/10/2023
152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,2,1994,Male,26,5/10/2023
153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,3,1975,Male,26,5/10/2023
154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,1,1991,Male,26,5/10/2023
155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,2,1980,Female,27,2/16/2019
156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,1,1996,Male,27,5/31/2017
157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,2,1978,Male,26,2/4/2017
158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,3,1967,Male,26,5/7/2018
159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,2,1983,Male,26,6/7/2018
160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,2,1969,Female,27,1/13/2018
161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,3,1990,Female,26,8/20/2019
162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,3,1993,Male,29,11/21/2018
163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,1,1991,Female,26,7/20/2017
164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,1,1991,Male,26,3/27/2018
165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,1,1992,Male,26,9/5/2019
166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,2,1991,Male,26,5/10/2023
167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,2,1993,Female,27,8/30/2018
168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,2,1986,Male,26,1/8/2020
169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,2,1994,Other,26,10/13/2018
170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,1,1988,Other,26,11/28/2019
171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,3,1993,Male,26,1/31/2020
172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,2,1988,Male,29,5/10/2023
173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,1,1994,Male,26,5/10/2023
174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,1,1993,Female,26,3/11/2017
175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,3,1992,Female,29,6/16/2017
176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,3,1987,Female,27,5/10/2023
177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,1,1992,Female,26,2/5/2019
178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,3,1988,Male,29,2/9/2019
179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,3,1985,Male,26,5/8/2018
180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,1,1980,Male,27,4/3/2018
181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,3,1982,Male,26,11/7/2017
182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,1,1986,Male,26,5/8/2018
183,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,2,1989,Male,26,7/2/2017
184,19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,1,1994,Female,26,3/13/2019
185,19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,2,1970,Male,27,7/11/2018
186,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,3,1985,Female,27,10/5/2017
