,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
311,Dordt College,185900,4,1159,0.2695,0.6133,0.698212,1420,6197,PrivacySuppressed,19000,61155.28,23777
312,Drake University,186000,4,1224,0.1593,0.508,0.668714,2890,9363,0.917973462,21915,70375.31,27303
313,University of Dubuque,189100,4,944,0.4414,0.7975,0.774194,655,6257,0.808270677,15305,58943.3,22006
314,Emmaus Bible College,2328900,4,1069,0.5,0.5046,0.347222,294,4377,PrivacySuppressed,10504.5,63394.45,13940
315,Faith Baptist Bible College and Theological Se...,712100,4,1051,0.456,0.368,0.642336,382,5083,PrivacySuppressed,8000,57604.15,13261
316,Graceland University-Lamoni,186600,4,961,0.4159,0.6895,0.478925,1477,5585,0.758454106,17011,56137.53,16666
317,Grand View University,186700,4,969,0.3898,0.7725,0.982143,1378,6497,0.827018122,18750,62140.86,17251
318,Grinnell College,186800,4,1402,0.222,0.4233,0.249143,1344,9177,0.939597315,12000,70311.1,23192
319,Iowa State University,186900,4,1142,0.2134,0.522,0.87153,22087,10513,0.872953245,18950,61269.08,13997
320,Iowa Wesleyan University,187100,4,949,0.482,0.7759,0.496286,777,5714,0.838095238,14750,55010.75,22620
321,University of Iowa,189200,4,1164,0.1918,0.4384,0.807375,19284,10708,0.835095137,16944.5,63769.8,14085
322,Loras College,187300,4,1088,0.2389,0.6933,0.9496,1626,6274,0.944711539,21500,66273.98,18325
323,Luther College,187400,4,1179,0.1866,0.6822,0.668891,2621,7618,0.904047976,26964.5,65739.49,24974
324,Morningside College,187900,4,1070,0.3376,0.7729,0.559921,968,6623,0.891566265,18130,54990.75,20899
325,Mount Mercy University,188000,4,990,0.347,0.7514,0.606498,1363,6081,0.840085288,17244,61693.27,18102
